老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑,钦拌
20210303,47,42,57,69,81,64,51,21,12,444
20210304,12,44,66,79,73,73,46,20,11,424
20210305,12,25,61,59,73,75,54,25,14,398
20210306,21,28,85,64,65,65,58,23,9,418
20210307,18,31,77,65,53,66,53,37,16,416
20210308,19,33,51,57,48,67,42,24,5,346
20210309,28,23,55,68,83,73,76,31,9,446
20210310,26,39,57,95,69,69,63,30,22,470
20210311,28,43,53,78,75,66,81,27,14,465
20210312,32,38,69,75,67,74,75,43,15,488
20210313,19,27,49,73,75,105,85,35,22,490
20210314,15,26,70,85,74,82,64,26,17,459
20210315,19,24,57,65,53,81,55,19,6,379
20210316,20,21,35,59,49,89,59,23,8,363
20210317,18,30,68,71,85,89,73,29,6,469
20210318,22,25,68,75,82,78,64,18,13,445
20210319,26,30,46,74,75,88,80,28,16,463
20210320,21,25,83,66,71,79,78,16,8,447
20210321,21,22,71,69,72,71,84,35,11,456
20210322,23,21,59,81,67,76,58,24,6,415
20210323,24,26,51,45,53,49,52,38,8,346
20210324,25,39,68,77,66,62,56,25,10,428
20210325,21,32,70,73,68,87,53,18,8,430
20210326,48,29,73,74,84,77,69,26,9,489
20210327,28,48,62,75,78,86,81,37,10,505
20210328,28,39,81,62,63,66,77,35,30,481
20210329,13,32,53,44,67,81,59,24,9,382
20210330,20,39,67,64,84,78,60,26,9,447
20210331,34,38,68,73,101,81,65,27,19,506
20210401,38,48,91,71,81,97,81,27,17,551
20210402,22,36,91,91,85,94,69,47,22,557
20210403,25,43,78,76,97,88,93,29,14,543
20210404,21,40,81,87,80,95,102,28,9,543
20210405,17,42,61,50,73,84,93,37,16,473
20210406,29,38,57,52,82,108,66,35,10,477
20210407,28,74,90,88,114,130,98,35,11,668
20210408,35,73,94,116,110,125,87,48,12,700
20210409,37,50,95,84,125,132,99,37,12,671
20210410,34,70,88,76,126,116,96,41,30,677
20210411,34,58,86,80,90,113,92,45,16,614
20210412,28,41,71,79,94,126,95,32,21,587
20210413,26,44,65,69,80,131,72,37,18,542
20210414,32,50,111,112,114,148,107,31,26,731
20210415,25,44,108,104,118,145,85,47,22,698
20210416,35,52,87,88,110,140,105,40,16,673
20210417,20,44,94,87,109,139,94,46,25,658
20210418,30,53,103,93,109,102,113,47,21,671
20210419,35,36,61,70,78,113,87,40,12,532
20210420,21,62,59,72,111,101,76,34,13,549
20210421,39,71,114,101,128,130,94,35,19,731
20210422,29,58,96,102,132,154,107,39,18,735
20210423,53,55,112,112,119,141,94,56,55,797
20210424,32,76,155,104,112,143,99,45,19,785
20210425,27,58,110,94,93,113,84,47,18,644
20210426,24,31,91,56,77,94,81,29,16,499
20210427,26,36,82,72,79,101,80,27,9,512
20210428,31,45,106,110,120,137,133,68,19,769
20210429,50,48,94,100,106,111,113,37,20,679
20210430,30,44,104,100,109,103,96,40,35,661
20210501,30,48,75,93,110,120,90,39,22,627
20210502,23,44,74,99,91,126,89,34,26,606
20210503,32,33,60,75,87,94,60,33,14,488
20210504,26,47,82,92,83,92,75,23,21,541
20210505,32,57,98,106,116,116,102,35,14,676
20210506,34,38,86,82,104,112,71,33,14,574
20210507,32,52,76,69,70,106,79,30,11,525
20210508,29,58,113,111,112,125,104,34,15,701
20210509,40,49,78,82,72,108,76,38,21,564
20210510,16,53,71,64,72,69,75,35,8,463
20210511,18,41,91,80,101,79,63,28,9,510
20210512,38,39,90,88,113,120,87,44,15,634
20210513,35,64,94,113,127,133,95,38,16,715
20210514,32,60,101,112,133,119,118,41,31,747
20210515,35,61,96,109,111,131,84,42,12,681
20210516,46,43,90,82,94,115,83,42,15,610
20210517,29,53,115,90,97,106,80,37,12,619
20210518,31,50,90,83,81,86,75,25,7,528
20210519,30,56,102,100,105,122,95,33,11,654
20210520,31,71,102,103,124,96,75,33,11,646
20210521,46,47,82,87,100,88,81,25,5,561
20210522,27,48,131,112,113,101,85,37,12,666
20210523,24,43,98,97,98,101,82,29,13,585
20210524,34,39,73,93,92,95,75,25,4,530
20210525,18,34,83,94,92,93,74,24,4,516
20210526,44,49,104,119,127,128,91,29,14,705
20210527,26,26,131,93,100,122,83,32,16,629
20210528,12,50,117,90,115,87,77,24,15,587
20210529,31,47,103,77,94,98,63,17,3,533
20210530,16,43,90,74,71,89,68,23,6,480
